Variable,All,Discharged,Death,Censored
   ↳ Fever,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Increased thirst (Polydipsia),   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
   ↳ Increased urination (polyuria),   3 ( 3.7) |   81,  2 (13.3) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Irritability,   2 ( 2.5) |   81,  0 ( 0.0) |  15,  2 ( 5.4) |  37,  0 ( 0.0) |  29
   ↳ Itchy eye,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  0 ( 0.0) |  29
   ↳ Jaundice,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Joint pain (Arthralgia),   2 ( 2.5) |   81,  0 ( 0.0) |  15,  2 ( 5.4) |  37,  0 ( 0.0) |  29
   ↳ Limb weakness / paralysis (Monoplegia),   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
   ↳ Localized edema,   3 ( 3.7) |   81,  0 ( 0.0) |  15,  2 ( 5.4) |  37,  1 ( 3.4) |  29
   ↳ Loss of smell (Anosmia),   3 ( 3.7) |   81,  1 ( 6.7) |  15,  0 ( 0.0) |  37,  2 ( 6.9) |  29
   ↳ Loss of taste (Parageusia),   3 ( 3.7) |   81,  1 ( 6.7) |  15,  2 ( 5.4) |  37,  0 ( 0.0) |  29
   ↳ Mouth ulcers (Recurrent oral aphthae),   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
   ↳ Mucosal lesion,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  0 ( 0.0) |  29
   ↳ Muscle weakness,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Nasal congestion,   1 ( 1.2) |   81,  1 ( 6.7) |  15,  0 ( 0.0) |  37,  0 ( 0.0) |  29
   ↳ Nausea or vomiting,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Palpitations,   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
   ↳ Paresthesia of skin,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  0 ( 0.0) |  29
   ↳ Pruritus,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  0 ( 0.0) |  29
   ↳ Rashes or skin lesions,   4 ( 4.9) |   81,  1 ( 6.7) |  15,  3 ( 8.1) |  37,  0 ( 0.0) |  29
   ↳ Skin rash,   1 ( 1.2) |   81,  1 ( 6.7) |  15,  0 ( 0.0) |  37,  0 ( 0.0) |  29
   ↳ Sleep disorder,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Sore throat (Pain in throat),   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
   ↳ Speech disturbances,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Spontaneous bruising (Spontaneous ecchymoses),   1 ( 1.2) |   81,  1 ( 6.7) |  15,  0 ( 0.0) |  37,  0 ( 0.0) |  29
   ↳ Tinnitus,   3 ( 3.7) |   81,  2 (13.3) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Tremor,   4 ( 4.9) |   81,  0 ( 0.0) |  15,  3 ( 8.1) |  37,  1 ( 3.4) |  29
   ↳ Urinary incontinence,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  0 ( 0.0) |  29
   ↳ Visual disturbances,   3 ( 3.7) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  2 ( 6.9) |  29
   ↳ Wheezing,   1 ( 1.2) |   81,  0 ( 0.0) |  15,  0 ( 0.0) |  37,  1 ( 3.4) |  29
   ↳ Other,   2 ( 2.5) |   81,  0 ( 0.0) |  15,  1 ( 2.7) |  37,  1 ( 3.4) |  29
<b>>->Any additional other sign(s) or symptom(s) ?</b> (*),  50 (80.6) |   62,  8 (80.0) |  10, 26 (89.7) |  29, 16 (69.6) |  23
<b>->->Select additional other sign(s) or symptom(s) 5</b> (*),,,,
   ↳ Abdominal pain,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Alopecia (Nonscarring hair loss),   2 ( 4.2) |   48,  1 (12.5) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Altered consciousness / Confusion (Disorientation),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Anorexia,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Ascites,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Bruising (Spontaneous ecchymoses),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Changes in menstruation (Irregular menstruation),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Chest pain on breathing,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Cognitive impairment (Unspecified intellectual disabilities),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Difficulty eating or drinking (Dysphagia),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Disorders of nose and nasal sinuses,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Dry skin (Xerosis cutis),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Erectile dysfunction,   2 ( 4.2) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  2 (12.5) |  16
   ↳ Fainting / blackouts (Syncope and collapse),   1 ( 2.1) |   48,  1 (12.5) |   8,  0 ( 0.0) |  24,  0 ( 0.0) |  16
   ↳ Fecal incontinence,   1 ( 2.1) |   48,  1 (12.5) |   8,  0 ( 0.0) |  24,  0 ( 0.0) |  16
   ↳ Feeding difficulty,   2 ( 4.2) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  1 ( 6.2) |  16
   ↳ Fever,   2 ( 4.2) |   48,  1 (12.5) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Headache,   2 ( 4.2) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  1 ( 6.2) |  16
   ↳ Increased thirst (Polydipsia),   1 ( 2.1) |   48,  1 (12.5) |   8,  0 ( 0.0) |  24,  0 ( 0.0) |  16
   ↳ Increased urination (polyuria),   2 ( 4.2) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  2 (12.5) |  16
   ↳ Keratitis,   2 ( 4.2) |   48,  1 (12.5) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Loss of taste (Parageusia),   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Lymphadenitis,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Mouth ulcers (Recurrent oral aphthae),   2 ( 4.2) |   48,  0 ( 0.0) |   8,  2 ( 8.3) |  24,  0 ( 0.0) |  16
   ↳ Mucosal lesion,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Muscle aches (Myalgia),   1 ( 2.1) |   48,  1 (12.5) |   8,  0 ( 0.0) |  24,  0 ( 0.0) |  16
   ↳ Nasal congestion,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Pallor,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
   ↳ Pruritus,   2 ( 4.2) |   48,  0 ( 0.0) |   8,  2 ( 8.3) |  24,  0 ( 0.0) |  16
   ↳ Skin lesion,   2 ( 4.2) |   48,  1 (12.5) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Skin rash,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  1 ( 4.2) |  24,  0 ( 0.0) |  16
   ↳ Sore throat (Pain in throat),   2 ( 4.2) |   48,  0 ( 0.0) |   8,  2 ( 8.3) |  24,  0 ( 0.0) |  16
   ↳ Tinnitus,   4 ( 8.3) |   48,  0 ( 0.0) |   8,  2 ( 8.3) |  24,  2 (12.5) |  16
   ↳ Wheezing,   1 ( 2.1) |   48,  0 ( 0.0) |   8,  0 ( 0.0) |  24,  1 ( 6.2) |  16
